,name,accuracy,class,game_desc,effect_chance,generation,machines,crit_rate,type,power,pp,priority
0,pound,100,physical,"The target is physically pounded with
a long tail, a foreleg, or the like.",Inflicts regular damage.,1,NA,0,normal,40,35,0
1,karate-chop,100,physical,"The target is attacked with a sharp chop.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,1,NA,1,fighting,50,25,0
2,double-slap,85,physical,"The target is slapped repeatedly, back
and forth, two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",1,NA,0,normal,15,10,0
3,comet-punch,85,physical,"The target is hit with a flurry of punches
that strike two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",1,NA,0,normal,18,15,0
4,mega-punch,85,physical,"The target is slugged by a punch thrown
with muscle-packed power.",Inflicts regular damage.,1,tm01,0,normal,80,20,0
5,pay-day,100,physical,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle.","Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",1,tm57,0,normal,40,20,0
6,fire-punch,100,physical,"The target is punched with a fiery fist.
This may also leave the target with a burn.",Inflicts regular damage.  Has a 10% chance to burn the target.,1,tm48,0,fire,75,15,0
7,ice-punch,100,physical,"The target is punched with an icy fist.
This may also leave the target frozen.",Inflicts regular damage.  Has a 10% chance to freeze the target.,1,tm35,0,ice,75,15,0
8,thunder-punch,100,physical,"The target is punched with an electrified
fist. This may also leave the target
with paralysis.",Inflicts regular damage.  Has a 10% chance to paralyze the target.,1,tm41,0,electric,75,15,0
9,scratch,100,physical,"Hard, pointed, sharp claws rake
the target to inflict damage.",Inflicts regular damage.,1,NA,0,normal,40,35,0
10,vice-grip,100,physical,"The target is gripped and squeezed from
both sides to inflict damage.",Inflicts regular damage.,1,NA,0,normal,55,30,0
11,guillotine,30,physical,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",1,NA,0,normal,NA,5,0
12,razor-wind,100,special,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily.","Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",1,tm02,1,normal,80,10,0
13,swords-dance,NA,status,"A frenetic dance to uplift the fighting
spirit. This sharply raises the user’s
Attack stat.",Raises the user's Attack by two stages.,1,tm75,0,normal,NA,20,0
14,cut,95,physical,"The target is cut with a scythe or claw.
This can also be used to cut down thin trees.",Inflicts regular damage.,1,hm01,0,normal,50,30,0
15,gust,100,special,"A gust of wind is whipped up by wings and
launched at the target to inflict damage.","Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",1,NA,0,flying,40,35,0
16,wing-attack,100,physical,"The target is struck with large, imposing
wings spread wide to inflict damage.",Inflicts regular damage.,1,NA,0,flying,60,35,0
17,whirlwind,NA,status,"The target is blown away, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon.","Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",1,tm04,0,normal,NA,20,-6
18,fly,95,physical,"The user soars and then strikes
its target on the next turn. This can
also be used to fly to any familiar town.","Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",1,hm02,0,flying,90,15,0
19,bind,85,physical,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",1,NA,0,normal,15,20,0
20,slam,75,physical,"The target is slammed with a long tail,
vines, or the like to inflict damage.",Inflicts regular damage.,1,NA,0,normal,80,20,0
21,vine-whip,100,physical,"The target is struck with slender,
whiplike vines to inflict damage.",Inflicts regular damage.,1,NA,0,grass,45,25,0
22,stomp,100,physical,"The target is stomped with a big foot.
This may also make the target flinch.","Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",1,NA,0,normal,65,20,0
23,double-kick,100,physical,"The target is quickly kicked twice in
succession using both feet.",Inflicts regular damage.  Hits twice in one turn.,1,NA,0,fighting,30,30,0
24,mega-kick,75,physical,"The target is attacked by a kick launched
with muscle-packed power.",Inflicts regular damage.,1,tm05,0,normal,120,5,0
25,jump-kick,95,physical,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself.","Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",1,NA,0,fighting,100,10,0
26,rolling-kick,85,physical,"The user lashes out with a quick, spinning
kick. This may also make the target flinch.",Inflicts regular damage.  Has a 30% chance to make the target flinch.,1,NA,0,fighting,60,15,0
27,sand-attack,100,status,"Sand is hurled in the target’s face,
reducing the target’s accuracy.",Lowers the target's accuracy by one stage.,1,NA,0,ground,NA,15,0
28,headbutt,100,physical,"The user sticks out its head and attacks
by charging straight into the target.
This may also make the target flinch.",Inflicts regular damage.  Has a 30% chance to make the target flinch.,1,tm02,0,normal,70,15,0
29,horn-attack,100,physical,"The target is jabbed with a sharply
pointed horn to inflict damage.",Inflicts regular damage.,1,NA,0,normal,65,25,0
30,fury-attack,85,physical,"The target is jabbed repeatedly with a
horn or beak two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",1,NA,0,normal,15,20,0
31,horn-drill,30,physical,"The user stabs the target with a horn
that rotates like a drill. The target
faints instantly if this attack hits.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",1,tm07,0,normal,NA,5,0
32,tackle,100,physical,"A physical attack in which the user
charges and slams into the target
with its whole body.",Inflicts regular damage.,1,NA,0,normal,40,35,0
33,body-slam,100,physical,"The user drops onto the target
with its full body weight. This may also
leave the target with paralysis.",Inflicts regular damage.  Has a 30% chance to paralyze the target.,1,tm08,0,normal,85,15,0
34,wrap,90,physical,"A long body or vines are used to wrap and
squeeze the target for four to five turns.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",1,NA,0,normal,15,20,0
35,take-down,85,physical,"A reckless, full-body charge attack for
slamming into the target.
This also damages the user a little.",Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,1,tm09,0,normal,90,20,0
36,thrash,100,physical,"The user rampages and attacks
for two to three turns.
The user then becomes confused.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",1,NA,0,normal,120,10,0
37,double-edge,100,physical,"A reckless, life-risking tackle.
This also damages the user
quite a lot.",Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,1,tm10,0,normal,120,15,0
38,tail-whip,100,status,"The user wags its tail cutely, making
opposing Pokémon less wary and
lowering their Defense stat.",Lowers the target's Defense by one stage.,1,NA,0,normal,NA,30,0
39,poison-sting,100,physical,"The user stabs the target
with a poisonous stinger.
This may also poison the target.",Inflicts regular damage.  Has a 30% chance to poison the target.,1,NA,0,poison,15,35,0
40,twineedle,100,physical,"The user damages the target twice in
succession by jabbing it with two spikes.
This may also poison the target.",Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,1,NA,0,bug,25,20,0
41,pin-missile,95,physical,"Sharp spikes are shot at the target
in rapid succession.
They hit two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",1,0,0,bug,25,20,0
42,leer,100,status,"The user gives opposing Pokémon
an intimidating leer that lowers the Defense stat.",Lowers the target's Defense by one stage.,1,NA,0,normal,NA,30,0
43,bite,100,physical,"The target is bitten
with viciously sharp fangs.
This may also make the target flinch.",Inflicts regular damage.  Has a 30% chance to make the target flinch.,1,NA,0,dark,60,25,0
44,growl,100,status,"The user growls in an endearing way,
making opposing Pokémon less wary.
This lowers their Attack stats.",Lowers the target's Attack by one stage.,1,NA,0,normal,NA,40,0
45,roar,NA,status,"The target is scared off, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon.","Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",1,tm05,0,normal,NA,20,-6
46,sing,55,status,"A soothing lullaby is sung in a calming
voice that puts the target into a
deep slumber.",Puts the target to sleep.,1,NA,0,normal,NA,15,0
47,supersonic,55,status,"The user generates odd sound waves from
its body that confuse the target.",Confuses the target.,1,NA,0,normal,NA,20,0
48,sonic-boom,90,special,"The target is hit with a destructive shock
wave that always inflicts 20 HP damage.",Inflicts exactly 20 damage.,1,NA,0,normal,NA,20,0
49,disable,100,status,"For four turns, this move prevents the
target from using the move it last used.","Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",1,NA,0,normal,NA,20,0
50,acid,100,special,"The opposing Pokémon are attacked
with a spray of harsh acid. This may
also lower their Sp. Def stats.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,1,NA,0,poison,40,30,0
51,ember,100,special,"The target is attacked with small flames.
This may also leave the target with a burn.",Inflicts regular damage.  Has a 10% chance to burn the target.,1,NA,0,fire,40,25,0
52,flamethrower,100,special,"The target is scorched with an intense
blast of fire. This may also leave the target
with a burn.",Inflicts regular damage.  Has a 10% chance to burn the target.,1,tm37,0,fire,90,15,0
53,mist,NA,status,"The user cloaks itself and its allies in a
white mist that prevents any of their stats
from being lowered for five turns.","Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",1,NA,0,ice,NA,30,0
54,water-gun,100,special,"The target is blasted with a
forceful shot of water.",Inflicts regular damage.,1,tm12,0,water,40,25,0
55,hydro-pump,80,special,"The target is blasted by a huge volume
of water launched under great pressure.",Inflicts regular damage.,1,0,0,water,110,5,0
56,surf,100,special,"The user attacks everything around it by
swamping its surroundings with a giant wave.
This can also be used for crossing water.","Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",1,hm03,0,water,90,15,0
57,ice-beam,100,special,"The target is struck with an icy-cold
beam of energy.
This may also leave the target frozen.",Inflicts regular damage.  Has a 10% chance to freeze the target.,1,tm55,0,ice,90,10,0
58,blizzard,70,special,"A howling blizzard is summoned to strike
opposing Pokémon. This may also leave
the opposing Pokémon frozen.","Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",1,tm51,0,ice,110,5,0
59,psybeam,100,special,"The target is attacked with a peculiar ray.
This may also leave the target confused.",Inflicts regular damage.  Has a 10% chance to confuse the target.,1,NA,0,psychic,65,20,0
60,bubble-beam,100,special,"A spray of bubbles is forcefully ejected
at the target. This may also lower
its Speed stat.",Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,1,tm11,0,water,65,20,0
61,aurora-beam,100,special,"The target is hit with a rainbow-colored
beam. This may also lower the target’s
Attack stat.",Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.,1,NA,0,ice,65,20,0
62,hyper-beam,90,special,"The target is attacked with a powerful
beam. The user can’t move on the next turn.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",1,tm48,0,normal,150,5,0
63,peck,100,physical,"The target is jabbed with a sharply
pointed beak or horn.",Inflicts regular damage.,1,NA,0,flying,35,35,0
64,drill-peck,100,physical,"A corkscrewing attack with a
sharp beak acting as a drill.",Inflicts regular damage.,1,NA,0,flying,80,20,0
65,submission,80,physical,"The user grabs the target and recklessly
dives for the ground. This also damages
the user a little.",Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,1,tm17,0,fighting,80,20,0
66,low-kick,100,physical,"A powerful low kick that makes the target
fall over. The heavier the target,
the greater the move’s power.","Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",1,0,0,fighting,NA,20,0
67,counter,100,physical,"A retaliation move that counters any
physical attack, inflicting double the
damage taken.","Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",1,tm18,0,fighting,NA,20,-5
68,seismic-toss,100,physical,"The target is thrown using the power of
gravity. It inflicts damage equal to
the user’s level.","Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",1,tm19,0,fighting,NA,20,0
69,strength,100,physical,"The target is slugged with a punch thrown
at maximum power. This can also be used
to move heavy boulders.",Inflicts regular damage.,1,hm04,0,normal,80,15,0
70,absorb,100,special,"A nutrient-draining attack. The user’s
HP is restored by half the damage taken
by the target.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.,1,NA,0,grass,20,25,0
71,mega-drain,100,special,"A nutrient-draining attack. The user’s
HP is restored by half the damage taken
by the target.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.,1,tm53,0,grass,40,15,0
72,leech-seed,90,status,"A seed is planted on the target. It steals
some HP from the target every turn.","Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",1,NA,0,grass,NA,10,0
73,growth,NA,status,"The user’s body grows all at once,
raising the Attack and Sp. Atk stats.","Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",1,NA,0,normal,NA,20,0
74,razor-leaf,95,physical,"Sharp-edged leaves are launched
to slash at the opposing Pokémon.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,1,NA,1,grass,55,25,0
