,name
0,pound
1,karate-chop
2,double-slap
3,comet-punch
4,mega-punch
5,pay-day
6,fire-punch
7,ice-punch
8,thunder-punch
9,scratch
10,vice-grip
11,guillotine
12,razor-wind
13,swords-dance
14,cut
15,gust
16,wing-attack
17,whirlwind
18,fly
19,bind
20,slam
21,vine-whip
22,stomp
23,double-kick
24,mega-kick
25,jump-kick
26,rolling-kick
27,sand-attack
28,headbutt
29,horn-attack
30,fury-attack
31,horn-drill
32,tackle
33,body-slam
34,wrap
35,take-down
36,thrash
37,double-edge
38,tail-whip
39,poison-sting
40,twineedle
41,pin-missile
42,leer
43,bite
44,growl
45,roar
46,sing
47,supersonic
48,sonic-boom
49,disable
50,acid
51,ember
52,flamethrower
53,mist
54,water-gun
55,hydro-pump
56,surf
57,ice-beam
58,blizzard
59,psybeam
60,bubble-beam
61,aurora-beam
62,hyper-beam
63,peck
64,drill-peck
65,submission
66,low-kick
67,counter
68,seismic-toss
69,strength
70,absorb
71,mega-drain
72,leech-seed
73,growth
74,razor-leaf
75,solar-beam
76,poison-powder
77,stun-spore
78,sleep-powder
79,petal-dance
80,string-shot
81,dragon-rage
82,fire-spin
83,thunder-shock
84,thunderbolt
85,thunder-wave
86,thunder
87,rock-throw
88,earthquake
89,fissure
90,dig
91,toxic
92,confusion
93,psychic
94,hypnosis
95,meditate
96,agility
97,quick-attack
98,rage
99,teleport
100,night-shade
101,mimic
102,screech
103,double-team
104,recover
105,harden
106,minimize
107,smokescreen
108,confuse-ray
109,withdraw
110,defense-curl
111,barrier
112,light-screen
113,haze
114,reflect
115,focus-energy
116,bide
117,metronome
118,mirror-move
119,self-destruct
120,egg-bomb
121,lick
122,smog
123,sludge
124,bone-club
125,fire-blast
126,waterfall
127,clamp
128,swift
129,skull-bash
130,spike-cannon
131,constrict
132,amnesia
133,kinesis
134,soft-boiled
135,high-jump-kick
136,glare
137,dream-eater
138,poison-gas
139,barrage
140,leech-life
141,lovely-kiss
142,sky-attack
143,transform
144,bubble
145,dizzy-punch
146,spore
147,flash
148,psywave
149,splash
150,acid-armor
151,crabhammer
152,explosion
153,fury-swipes
154,bonemerang
155,rest
156,rock-slide
157,hyper-fang
158,sharpen
159,conversion
160,tri-attack
161,super-fang
162,slash
163,substitute
164,struggle
165,sketch
166,triple-kick
167,thief
168,spider-web
169,mind-reader
170,nightmare
171,flame-wheel
172,snore
173,curse
174,flail
175,conversion-2
176,aeroblast
177,cotton-spore
178,reversal
179,spite
180,powder-snow
181,protect
182,mach-punch
183,scary-face
184,feint-attack
185,sweet-kiss
186,belly-drum
187,sludge-bomb
188,mud-slap
189,octazooka
190,spikes
191,zap-cannon
192,foresight
193,destiny-bond
194,perish-song
195,icy-wind
196,detect
197,bone-rush
198,lock-on
199,outrage
200,sandstorm
201,giga-drain
202,endure
203,charm
204,rollout
205,false-swipe
206,swagger
207,milk-drink
208,spark
209,fury-cutter
210,steel-wing
211,mean-look
212,attract
213,sleep-talk
214,heal-bell
215,return
216,present
217,frustration
218,safeguard
219,pain-split
220,sacred-fire
221,magnitude
222,dynamic-punch
223,megahorn
224,dragon-breath
225,baton-pass
226,encore
227,pursuit
228,rapid-spin
229,sweet-scent
230,iron-tail
231,metal-claw
232,vital-throw
233,morning-sun
234,synthesis
235,moonlight
236,hidden-power
237,cross-chop
238,twister
239,rain-dance
240,sunny-day
241,crunch
242,mirror-coat
243,psych-up
244,extreme-speed
245,ancient-power
246,shadow-ball
247,future-sight
248,rock-smash
249,whirlpool
250,beat-up
251,fake-out
252,uproar
253,stockpile
254,spit-up
255,swallow
256,heat-wave
257,hail
258,torment
259,flatter
260,will-o-wisp
261,memento
262,facade
263,focus-punch
264,smelling-salts
265,follow-me
266,nature-power
267,charge
268,taunt
269,helping-hand
270,trick
271,role-play
272,wish
273,assist
274,ingrain
275,superpower
276,magic-coat
277,recycle
278,revenge
279,brick-break
280,yawn
281,knock-off
282,endeavor
283,eruption
284,skill-swap
285,imprison
286,refresh
287,grudge
288,snatch
289,secret-power
290,dive
291,arm-thrust
292,camouflage
293,tail-glow
294,luster-purge
295,mist-ball
296,feather-dance
297,teeter-dance
298,blaze-kick
299,mud-sport
300,ice-ball
301,needle-arm
302,slack-off
303,hyper-voice
304,poison-fang
305,crush-claw
306,blast-burn
307,hydro-cannon
308,meteor-mash
309,astonish
310,weather-ball
311,aromatherapy
312,fake-tears
313,air-cutter
314,overheat
315,odor-sleuth
316,rock-tomb
317,silver-wind
318,metal-sound
319,grass-whistle
320,tickle
321,cosmic-power
322,water-spout
323,signal-beam
324,shadow-punch
325,extrasensory
326,sky-uppercut
327,sand-tomb
328,sheer-cold
329,muddy-water
330,bullet-seed
331,aerial-ace
332,icicle-spear
333,iron-defense
334,block
335,howl
336,dragon-claw
337,frenzy-plant
338,bulk-up
339,bounce
340,mud-shot
341,poison-tail
342,covet
343,volt-tackle
344,magical-leaf
345,water-sport
346,calm-mind
347,leaf-blade
348,dragon-dance
349,rock-blast
350,shock-wave
351,water-pulse
352,doom-desire
353,psycho-boost
354,roost
355,gravity
356,miracle-eye
357,wake-up-slap
358,hammer-arm
359,gyro-ball
360,healing-wish
361,brine
362,natural-gift
363,feint
364,pluck
365,tailwind
366,acupressure
367,metal-burst
368,u-turn
369,close-combat
370,payback
371,assurance
372,embargo
373,fling
374,psycho-shift
375,trump-card
376,heal-block
377,wring-out
378,power-trick
379,gastro-acid
380,lucky-chant
381,me-first
382,copycat
383,power-swap
384,guard-swap
385,punishment
386,last-resort
387,worry-seed
388,sucker-punch
389,toxic-spikes
390,heart-swap
391,aqua-ring
392,magnet-rise
393,flare-blitz
394,force-palm
395,aura-sphere
396,rock-polish
397,poison-jab
398,dark-pulse
399,night-slash
400,aqua-tail
401,seed-bomb
402,air-slash
403,x-scissor
404,bug-buzz
405,dragon-pulse
406,dragon-rush
407,power-gem
408,drain-punch
409,vacuum-wave
410,focus-blast
411,energy-ball
412,brave-bird
413,earth-power
414,switcheroo
415,giga-impact
416,nasty-plot
417,bullet-punch
418,avalanche
419,ice-shard
420,shadow-claw
421,thunder-fang
422,ice-fang
423,fire-fang
424,shadow-sneak
425,mud-bomb
426,psycho-cut
427,zen-headbutt
428,mirror-shot
429,flash-cannon
430,rock-climb
431,defog
432,trick-room
433,draco-meteor
434,discharge
435,lava-plume
436,leaf-storm
437,power-whip
438,rock-wrecker
439,cross-poison
440,gunk-shot
441,iron-head
442,magnet-bomb
443,stone-edge
444,captivate
445,stealth-rock
446,grass-knot
447,chatter
448,judgment
449,bug-bite
450,charge-beam
451,wood-hammer
452,aqua-jet
453,attack-order
454,defend-order
455,heal-order
456,head-smash
457,double-hit
458,roar-of-time
459,spacial-rend
460,lunar-dance
461,crush-grip
462,magma-storm
463,dark-void
464,seed-flare
465,ominous-wind
466,shadow-force
467,hone-claws
468,wide-guard
469,guard-split
470,power-split
471,wonder-room
472,psyshock
473,venoshock
474,autotomize
475,rage-powder
476,telekinesis
477,magic-room
478,smack-down
479,storm-throw
480,flame-burst
481,sludge-wave
482,quiver-dance
483,heavy-slam
484,synchronoise
485,electro-ball
486,soak
487,flame-charge
488,coil
489,low-sweep
490,acid-spray
491,foul-play
492,simple-beam
493,entrainment
494,after-you
495,round
496,echoed-voice
497,chip-away
498,clear-smog
499,stored-power
500,quick-guard
501,ally-switch
502,scald
503,shell-smash
504,heal-pulse
505,hex
506,sky-drop
507,shift-gear
508,circle-throw
509,incinerate
510,quash
511,acrobatics
512,reflect-type
513,retaliate
514,final-gambit
515,bestow
516,inferno
517,water-pledge
518,fire-pledge
519,grass-pledge
520,volt-switch
521,struggle-bug
522,bulldoze
523,frost-breath
524,dragon-tail
525,work-up
526,electroweb
527,wild-charge
528,drill-run
529,dual-chop
530,heart-stamp
531,horn-leech
532,sacred-sword
533,razor-shell
534,heat-crash
535,leaf-tornado
536,steamroller
537,cotton-guard
538,night-daze
539,psystrike
540,tail-slap
541,hurricane
542,head-charge
543,gear-grind
544,searing-shot
545,techno-blast
546,relic-song
547,secret-sword
548,glaciate
549,bolt-strike
550,blue-flare
551,fiery-dance
552,freeze-shock
553,ice-burn
554,snarl
555,icicle-crash
556,v-create
557,fusion-flare
558,fusion-bolt
559,shadow-rush
560,shadow-blast
561,shadow-blitz
562,shadow-bolt
563,shadow-break
564,shadow-chill
565,shadow-end
566,shadow-fire
567,shadow-rave
568,shadow-storm
569,shadow-wave
570,shadow-down
571,shadow-half
572,shadow-hold
573,shadow-mist
574,shadow-panic
575,shadow-shed
576,shadow-sky
