,name,pokedex_id,attack,special-attack,defense,special-defense,speed,hp,type1,type2,list_of_moves,ability_name,height,weight,generation,evolutions
0,bulbasaur,1,49,65,49,65,45,45,grass,poison,"[('razor-wind', 'egg'), ('swords-dance', 'machine'), ('cut', 'machine'), ('bind', 'tutor'), ('vine-whip', 13), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('growl', 1), ('strength', 'machine'), ('mega-drain', 'machine'), ('leech-seed', 7), ('growth', 34), ('razor-leaf', 27), ('solar-beam', 'machine'), ('poison-powder', 20), ('sleep-powder', 41), ('petal-dance', 'egg'), ('string-shot', 'tutor'), ('toxic', 'egg'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('reflect', 'machine'), ('bide', 'machine'), ('sludge', 'egg'), ('skull-bash', 'egg'), ('amnesia', 'machine'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'egg'), ('protect', 'machine'), ('sludge-bomb', 'machine'), ('mud-slap', 'tutor'), ('outrage', -1), ('giga-drain', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('rock-smash', 'machine'), ('facade', 'machine'), ('nature-power', 'egg'), ('helping-hand', 'machine'), ('ingrain', 'egg'), ('knock-off', 'tutor'), ('secret-power', 'machine'), ('weather-ball', 'machine'), ('grass-whistle', 'egg'), ('bullet-seed', 'machine'), ('magical-leaf', 'machine'), ('natural-gift', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'machine'), ('energy-ball', 'machine'), ('leaf-storm', 'machine'), ('power-whip', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('venoshock', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('grass-pledge', 'tutor'), ('work-up', 'machine')]",[],7,69,1,"[('bulbasaur', '', 0), ('ivysaur', 'level-up(16)', 1), ('venusaur', 'level-up(32)', 2)]"
1,ivysaur,2,62,80,63,80,60,60,grass,poison,"[('swords-dance', 'machine'), ('cut', 'machine'), ('bind', 'tutor'), ('vine-whip', 13), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('growl', 1), ('strength', 'machine'), ('mega-drain', 'machine'), ('leech-seed', 1), ('growth', 38), ('razor-leaf', 30), ('solar-beam', 'machine'), ('poison-powder', 22), ('sleep-powder', 46), ('string-shot', 'tutor'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('reflect', 'machine'), ('bide', 'machine'), ('amnesia', 'machine'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('sludge-bomb', 'machine'), ('mud-slap', 'tutor'), ('outrage', -1), ('giga-drain', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('rock-smash', 'machine'), ('facade', 'machine'), ('nature-power', 'machine'), ('helping-hand', 'machine'), ('knock-off', 'tutor'), ('secret-power', 'machine'), ('weather-ball', 'machine'), ('bullet-seed', 'machine'), ('magical-leaf', 'machine'), ('natural-gift', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'machine'), ('energy-ball', 'machine'), ('leaf-storm', 'machine'), ('power-whip', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('venoshock', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('grass-pledge', 'tutor'), ('work-up', 'machine')]",[],10,130,1,"[('bulbasaur', '', 0), ('ivysaur', 'level-up(16)', 1), ('venusaur', 'level-up(32)', 2)]"
2,venusaur,3,82,100,83,100,80,80,grass,poison,"[('swords-dance', 'machine'), ('cut', 'machine'), ('bind', 'tutor'), ('vine-whip', 1), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('growl', 1), ('roar', 'machine'), ('hyper-beam', 'machine'), ('strength', 'machine'), ('mega-drain', 'machine'), ('leech-seed', 1), ('growth', 43), ('razor-leaf', 30), ('solar-beam', 'machine'), ('poison-powder', 22), ('sleep-powder', 55), ('petal-dance', 'level-up'), ('string-shot', 'tutor'), ('earthquake', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('reflect', 'machine'), ('bide', 'machine'), ('amnesia', 'machine'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('sludge-bomb', 'machine'), ('mud-slap', 'tutor'), ('outrage', 'machine'), ('giga-drain', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('rock-smash', 'machine'), ('facade', 'machine'), ('nature-power', 'machine'), ('helping-hand', 'machine'), ('knock-off', 'tutor'), ('secret-power', 'machine'), ('weather-ball', 'machine'), ('bullet-seed', 'machine'), ('block', 'tutor'), ('frenzy-plant', 'tutor'), ('magical-leaf', 'machine'), ('natural-gift', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'machine'), ('energy-ball', 'machine'), ('earth-power', 'machine'), ('giga-impact', 'machine'), ('rock-climb', 'machine'), ('leaf-storm', 'machine'), ('power-whip', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('venoshock', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('grass-pledge', 'tutor'), ('bulldoze', 'machine'), ('work-up', 'machine')]",[],20,1000,1,"[('bulbasaur', '', 0), ('ivysaur', 'level-up(16)', 1), ('venusaur', 'level-up(32)', 2)]"
3,charmander,4,52,60,43,50,65,39,fire,fire,"[('mega-punch', 'machine'), ('fire-punch', 'machine'), ('thunder-punch', 'machine'), ('scratch', 1), ('swords-dance', 'machine'), ('cut', 'machine'), ('wing-attack', 'egg'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('leer', 15), ('bite', 'egg'), ('growl', 1), ('ember', 9), ('flamethrower', 'machine'), ('submission', 'machine'), ('counter', 'egg'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dragon-rage', 'machine'), ('fire-spin', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('smokescreen', 13), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('bide', 'machine'), ('fire-blast', 'machine'), ('swift', 'machine'), ('skull-bash', 'machine'), ('fury-swipes', -1), ('rest', 'machine'), ('rock-slide', 'machine'), ('slash', 30), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('scary-face', 'machine'), ('belly-drum', 'egg'), ('mud-slap', 'tutor'), ('outrage', 'machine'), ('endure', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('dragon-breath', 'machine'), ('iron-tail', 'machine'), ('metal-claw', 'egg'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('crunch', 'machine'), ('ancient-power', 'egg'), ('rock-smash', 'machine'), ('beat-up', 'machine'), ('heat-wave', 'machine'), ('will-o-wisp', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('weather-ball', 'machine'), ('air-cutter', 'egg'), ('overheat', 'machine'), ('rock-tomb', 'machine'), ('aerial-ace', 'machine'), ('dragon-claw', 'machine'), ('dragon-dance', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('flare-blitz', 'machine'), ('dragon-pulse', 'machine'), ('dragon-rush', 'egg'), ('shadow-claw', 'machine'), ('fire-fang', 'machine'), ('captivate', 'machine'), ('hone-claws', 'machine'), ('flame-burst', 28), ('flame-charge', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('incinerate', 'machine'), ('acrobatics', 'machine'), ('inferno', 46), ('fire-pledge', 'tutor'), ('dragon-tail', 'egg'), ('work-up', 'machine')]",[],6,85,1,"[('charmander', '', 0), ('charmeleon', 'level-up(16)', 1), ('charizard', 'level-up(36)', 2)]"
4,charmeleon,5,64,80,58,65,80,58,fire,fire,"[('mega-punch', 'machine'), ('fire-punch', 'machine'), ('thunder-punch', 'machine'), ('scratch', 1), ('swords-dance', 'machine'), ('cut', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('leer', 15), ('growl', 1), ('ember', 1), ('flamethrower', 'machine'), ('submission', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dragon-rage', 'machine'), ('fire-spin', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('smokescreen', 13), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('bide', 'machine'), ('fire-blast', 'machine'), ('swift', 'machine'), ('skull-bash', 'machine'), ('fury-swipes', -1), ('rest', 'machine'), ('rock-slide', 'machine'), ('slash', 33), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('scary-face', 'machine'), ('mud-slap', 'tutor'), ('outrage', 'machine'), ('endure', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('dragon-breath', 'machine'), ('iron-tail', 'machine'), ('metal-claw', 13), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('crunch', 'machine'), ('rock-smash', 'machine'), ('beat-up', 'machine'), ('heat-wave', 'machine'), ('will-o-wisp', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('weather-ball', 'machine'), ('overheat', 'machine'), ('rock-tomb', 'machine'), ('aerial-ace', 'machine'), ('dragon-claw', 'machine'), ('dragon-dance', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('flare-blitz', 'machine'), ('dragon-pulse', 'machine'), ('shadow-claw', 'machine'), ('fire-fang', 'machine'), ('captivate', 'machine'), ('hone-claws', 'machine'), ('flame-burst', 32), ('flame-charge', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('incinerate', 'machine'), ('acrobatics', 'machine'), ('inferno', 54), ('fire-pledge', 'tutor'), ('work-up', 'machine')]",[],11,190,1,"[('charmander', '', 0), ('charmeleon', 'level-up(16)', 1), ('charizard', 'level-up(36)', 2)]"
5,charizard,6,84,109,78,85,100,78,fire,flying,"[('mega-punch', 'machine'), ('fire-punch', 'machine'), ('thunder-punch', 'machine'), ('scratch', 1), ('swords-dance', 'machine'), ('cut', 'machine'), ('wing-attack', 'level-up'), ('fly', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('leer', 1), ('growl', 1), ('roar', 'machine'), ('ember', 1), ('flamethrower', 'machine'), ('hyper-beam', 'machine'), ('submission', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('solar-beam', 'machine'), ('dragon-rage', 'machine'), ('fire-spin', 'machine'), ('earthquake', 'machine'), ('fissure', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('smokescreen', 1), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('bide', 'machine'), ('fire-blast', 'machine'), ('swift', 'machine'), ('skull-bash', 'machine'), ('fury-swipes', -1), ('rest', 'machine'), ('rock-slide', 'machine'), ('slash', 36), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('scary-face', 'machine'), ('mud-slap', 'tutor'), ('outrage', 'machine'), ('sandstorm', 'machine'), ('endure', 'machine'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('fury-cutter', 'tutor'), ('steel-wing', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('dragon-breath', 'machine'), ('iron-tail', 'machine'), ('metal-claw', 1), ('hidden-power', 'machine'), ('twister', 'tutor'), ('sunny-day', 'machine'), ('crunch', 'machine'), ('rock-smash', 'machine'), ('beat-up', 'machine'), ('heat-wave', 'machine'), ('will-o-wisp', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('blaze-kick', 'machine'), ('blast-burn', 'tutor'), ('weather-ball', 'machine'), ('air-cutter', 'tutor'), ('overheat', 'machine'), ('rock-tomb', 'machine'), ('aerial-ace', 'machine'), ('dragon-claw', 'machine'), ('dragon-dance', 'machine'), ('roost', 'machine'), ('natural-gift', 'machine'), ('tailwind', 'tutor'), ('fling', 'machine'), ('flare-blitz', 'machine'), ('air-slash', 'machine'), ('dragon-pulse', 'machine'), ('focus-blast', 'machine'), ('giga-impact', 'machine'), ('shadow-claw', 'machine'), ('fire-fang', 'machine'), ('defog', 'tutor'), ('captivate', 'machine'), ('ominous-wind', 'tutor'), ('hone-claws', 'machine'), ('flame-burst', 32), ('flame-charge', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('sky-drop', 'machine'), ('incinerate', 'machine'), ('acrobatics', 'machine'), ('inferno', 62), ('fire-pledge', 'tutor'), ('bulldoze', 'machine'), ('dragon-tail', 'machine'), ('work-up', 'machine'), ('heat-crash', 'machine'), ('hurricane', 'machine')]",[],17,905,1,"[('charmander', '', 0), ('charmeleon', 'level-up(16)', 1), ('charizard', 'level-up(36)', 2)]"
6,squirtle,7,48,50,65,64,43,44,water,water,"[('mega-punch', 'machine'), ('ice-punch', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('tail-whip', 1), ('bite', 22), ('mist', 'egg'), ('water-gun', 'machine'), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 'machine'), ('submission', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('confusion', 'egg'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('withdraw', 28), ('defense-curl', 'tutor'), ('haze', 'egg'), ('reflect', 'machine'), ('bide', 'machine'), ('waterfall', 'machine'), ('skull-bash', 'machine'), ('bubble', 8), ('rest', 'machine'), ('rock-slide', -1), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('flail', 'egg'), ('protect', 'machine'), ('mud-slap', 'tutor'), ('foresight', 'egg'), ('icy-wind', 'machine'), ('outrage', -1), ('endure', 'machine'), ('rollout', 'tutor'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('rapid-spin', 23), ('iron-tail', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('mirror-coat', 'egg'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('fake-out', 'egg'), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('yawn', 'egg'), ('refresh', 'egg'), ('secret-power', 'machine'), ('dive', 'machine'), ('mud-sport', 'egg'), ('weather-ball', 'machine'), ('rock-tomb', 'machine'), ('water-spout', 'egg'), ('muddy-water', 'machine'), ('iron-defense', 'machine'), ('water-pulse', 'tutor'), ('gyro-ball', 'machine'), ('brine', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('aqua-ring', 'egg'), ('aura-sphere', 'machine'), ('aqua-tail', 'tutor'), ('dragon-pulse', 'machine'), ('zen-headbutt', 'machine'), ('captivate', 'machine'), ('aqua-jet', 'egg'), ('round', 'machine'), ('scald', 'machine'), ('shell-smash', 27), ('water-pledge', 'tutor'), ('work-up', 'machine')]",[],5,90,1,"[('squirtle', '', 0), ('wartortle', 'level-up(16)', 1), ('blastoise', 'level-up(36)', 2)]"
7,wartortle,8,63,65,80,80,58,59,water,water,"[('mega-punch', 'machine'), ('ice-punch', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('tail-whip', 1), ('bite', 24), ('water-gun', 'machine'), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 'machine'), ('submission', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('withdraw', 31), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('bide', 'machine'), ('waterfall', 'machine'), ('skull-bash', 'machine'), ('bubble', 1), ('rest', 'machine'), ('rock-slide', -1), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('mud-slap', 'tutor'), ('icy-wind', 'machine'), ('outrage', -1), ('endure', 'machine'), ('rollout', 'tutor'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('rapid-spin', 25), ('iron-tail', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('dive', 'machine'), ('weather-ball', 'machine'), ('rock-tomb', 'machine'), ('muddy-water', 'machine'), ('iron-defense', 'machine'), ('water-pulse', 'tutor'), ('gyro-ball', 'machine'), ('brine', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('aura-sphere', 'machine'), ('aqua-tail', 'tutor'), ('dragon-pulse', 'machine'), ('zen-headbutt', 'machine'), ('captivate', 'machine'), ('round', 'machine'), ('scald', 'machine'), ('shell-smash', 35), ('water-pledge', 'tutor'), ('work-up', 'machine')]",[],10,225,1,"[('squirtle', '', 0), ('wartortle', 'level-up(16)', 1), ('blastoise', 'level-up(36)', 2)]"
8,blastoise,9,83,85,100,105,78,79,water,water,"[('mega-punch', 'machine'), ('ice-punch', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('take-down', 'machine'), ('double-edge', 'tutor'), ('tail-whip', 1), ('bite', 24), ('roar', 'machine'), ('water-gun', 'machine'), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 'machine'), ('hyper-beam', 'machine'), ('submission', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('earthquake', 'machine'), ('fissure', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('rage', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('withdraw', 31), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('bide', 'machine'), ('waterfall', 'machine'), ('skull-bash', 'machine'), ('bubble', 1), ('rest', 'machine'), ('rock-slide', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('mud-slap', 'tutor'), ('icy-wind', 'machine'), ('outrage', 'machine'), ('endure', 'machine'), ('rollout', 'tutor'), ('false-swipe', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('rapid-spin', 25), ('iron-tail', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('crunch', 'machine'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('fake-out', -1), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('dive', 'machine'), ('hydro-cannon', 'tutor'), ('weather-ball', 'machine'), ('rock-tomb', 'machine'), ('signal-beam', 'tutor'), ('muddy-water', 'machine'), ('iron-defense', 'machine'), ('water-pulse', 'tutor'), ('gyro-ball', 'machine'), ('brine', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('aura-sphere', 'machine'), ('dark-pulse', 'machine'), ('aqua-tail', 'tutor'), ('dragon-pulse', 'machine'), ('focus-blast', 'machine'), ('giga-impact', 'machine'), ('avalanche', 'machine'), ('zen-headbutt', 'machine'), ('flash-cannon', 'machine'), ('rock-climb', 'machine'), ('captivate', 'machine'), ('aqua-jet', -1), ('smack-down', 'machine'), ('round', 'machine'), ('scald', 'machine'), ('shell-smash', 35), ('water-pledge', 'tutor'), ('bulldoze', 'machine'), ('dragon-tail', 'machine'), ('work-up', 'machine')]",[],16,855,1,"[('squirtle', '', 0), ('wartortle', 'level-up(16)', 1), ('blastoise', 'level-up(36)', 2)]"
9,caterpie,10,30,20,35,20,45,45,bug,bug,"[('tackle', 1), ('string-shot', 'tutor'), ('snore', 'tutor'), ('bug-bite', 'tutor'), ('electroweb', 'machine')]",[],3,29,1,"[('caterpie', '', 0), ('metapod', 'level-up(7)', 1), ('butterfree', 'level-up(10)', 2)]"
